Displacement	Force
1.2451	12538.1221
1.2493	12548.0488
1.2536	12558.5352
1.2578	12566.6455
1.2621	12575.2041
1.2664	12583.1719
1.2706	12588.8154
1.2748	12596.0322
1.279	12603.7334
1.2833	12609.293
1.2875	12615.1377
1.2917	12622.2842
1.296	12628.4971
1.3002	12634.8135
1.3045	12642.7656
1.3087	12648.4648
1.3129	12653.0234
1.3171	12659.7539
1.3213	12666.0449
1.3255	12671.5537
1.3298	12678.8936
1.3341	12685.6826
1.3383	12690.708
1.3425	12698.0684
1.3468	12705.1338
1.351	12710.6924
1.3552	12717.5625
1.3595	12724.0811
1.3637	12728.7236
1.3679	12735.1279
1.3722	12743.2109
1.3764	12748.8232
1.3806	12754.6514
1.3849	12761.5771
1.3891	12765.8438
1.3933	12770.5322
1.3976	12777.4678
1.4018	12783.6885
1.406	12788.8926
1.4102	12796.1484
1.4145	12802.6807
1.4187	12808.3652
1.423	12816.25
1.4272	12822.4814
1.4314	12826.957
1.4357	12833.6016
1.4399	12840.417
1.4441	12845.2959
1.4483	12852.1807
1.4526	12859.0439
1.4568	12863.8408
1.461	12869.9531
1.4653	12876.7051
1.4695	12881.1064
1.4738	12884.8809
1.478	12889.5781
1.4822	12893.0889
1.4864	12897.2646
1.4907	12903.9062
1.4949	12909.7949
1.4992	12915.2432
1.5034	12921.8125
1.5077	12927.8916
1.5119	12933.5586
1.5161	12941.6904
1.5203	12948.9414
1.5245	12954.5039
1.5287	12962.3887
1.533	12970.3164
1.5372	12977.2686
1.5415	12985.8125
1.5458	12993.6348
1.55	12998.3623
1.5542	13004.8447
1.5584	13013.1309
1.5626	13019.6689
1.5669	13026.9434
1.5711	13035.4268
1.5754	13041.7959
1.5796	13048.1924
1.5839	13056.2871
1.5881	13062.7812
1.5923	13069.1777
1.5965	13077.2227
1.6008	13083.0898
1.6049	13088.9844
1.6092	13098.3877
1.6135	13106.1729
1.6177	13112.5332
1.6219	13121.0215
1.6262	13128.5088
1.6304	13134.2744
1.6346	13142.8418
1.6389	13151.3125
1.6431	13157.9941
1.6473	13165.9463
1.6515	13174.2773
1.6558	13181.4873
1.66	13189.9639
1.6643	13198.9277
1.6685	13205.3574
1.6727	13212.2197
1.677	13220.5508
1.6812	13227.918
1.6854	13235.5996
1.6896	13244.2891
1.6939	13251.9385
1.6981	13258.792
1.7023	13268.6328
1.7066	13277.0996
1.7108	13283.3604
1.7151	13291.5332
1.7193	13299.4238
1.7235	13306.2012
1.7277	13315.4141
1.732	13324.9941
1.7362	13331.9033
1.7405	13339.9463
1.7447	13347.7305
1.749	13353.9043
1.7532	13362.0645
1.7574	13370.8066
1.7616	13377.9307
1.7658	13385.3828
1.7701	13394.252
1.7743	13402.1885
1.7785	13410.6182
1.7828	13420.0977
1.787	13426.7568
1.7912	13433.4561
1.7955	13442.7227
1.7997	13451.0254
1.8039	13458.416
1.8082	13467.5234
1.8124	13475.4531
1.8166	13481.7812
1.8209	13490.4434
1.8252	13499.5234
1.8294	13506.1943
1.8336	13514.1064
1.8379	13521.6631
1.842	13527.9238
1.8463	13536.0137
1.8505	13545.5225
1.8548	13552.4023
1.859	13559.9795
1.8632	13568.2373
1.8675	13574.498
1.8717	13581.7393
1.8759	13590.7686
1.8801	13598.2324
1.8843	13604.7207
1.8886	13613.6338
1.8928	13622.0439
1.8971	13629.29
1.9013	13638.4219
1.9056	13645.8975
1.9098	13652.1221
1.914	13660.5215
1.9183	13668.8379
1.9225	13675.2705
1.9267	13683.7373
1.931	13691.5889
1.9352	13697.6885
1.9394	13706.457
1.9437	13714.8145
1.9479	13721.1172
1.9521	13727.9873
1.9563	13736.0967
1.9606	13743.0195
1.9648	13750.6279
1.969	13759.7324
1.9733	13767.1396
1.9775	13773.9727
1.9818	13782.1523
1.986	13789.5996
1.9902	13796.1797
1.9945	13805.0137
1.9987	13812.7852
2.0029	13818.5273
2.0071	13826.4365
2.0114	13834.3232
2.0156	13841.2559
2.0199	13850.0654
2.0242	13857.4922
2.0283	13862.5371
2.0325	13870.1777
2.0368	13879.1133
2.041	13885.4443
2.0452	13892.8506
2.0495	13901.1816
2.0537	13908.0156
2.0579	13915.8203
2.0622	13925.0938
2.0665	13931.8076
2.0707	13937.6514
2.0749	13945.6318
2.0791	13952.3799
2.0833	13959.4922
2.0876	13968.4727
2.0918	13976.0254
2.0961	13982.2549
2.1003	13990.1328
2.1046	13997.5645
2.1088	14003.248
2.113	14011.1826
2.1172	14019.1338
2.1214	14024.7705
2.1256	14032.3975
2.1299	14041.4512
2.1341	14048.4258
2.1384	14055.9971
2.1427	14064.0771
2.1469	14069.3945
2.1511	14076.1357
2.1553	14084.5615
2.1596	14091.5215
2.1638	14098.1641
2.168	14105.9072
2.1723	14112.9248
2.1765	14119.8545
2.1808	14128.5039
2.185	14135.4141
2.1892	14140.6084
2.1934	14147.7666
2.1977	14154.3164
2.2018	14160.8486
2.2061	14169.3145
2.2104	14177.71
2.2146	14183.624
2.2188	14190.9785
2.2231	14198.6992
2.2273	14204.4053
2.2315	14211.5859
2.2358	14219.4736
2.24	14225.2852
2.2442	14231.7881
2.2484	14240.1416
2.2527	14247.0977
2.2569	14254.2012
2.2612	14262.4668
2.2654	14267.9941
2.2696	14273.5674
2.2738	14281.7061
2.2781	14288.4707
2.2823	14294.6484
2.2865	14302.8535
2.2908	14309.8838
2.295	14315.3682
2.2993	14323.376
2.3035	14330.8828
2.3077	14336.5547
2.312	14343.9707
2.3162	14350.8506
2.3204	14356.5547
2.3246	14364.0654
2.3289	14372.4844
2.3331	14378.7119
2.3374	14385.5332
2.3416	14392.9277
2.3458	14398.3867
2.35	14404.7588
2.3543	14412.8594
2.3585	14419.3945
2.3627	14425.2373
2.367	14433.4131
2.3712	14440.3535
2.3754	14446.7744
2.3797	14455.0869
2.384	14461.4502
2.3882	14466.1074
2.3924	14473.167
2.3967	14480.2764
2.4008	14486.1777
2.4051	14493.7012
2.4093	14501.1104
2.4135	14506.6016
2.4178	14514.3564
2.4221	14521.8047
2.4263	14527.2695
2.4305	14533.5732
2.4347	14540.8984
2.4389	14546.8037
2.4431	14553.2939
2.4474	14561.4336
2.4517	14567.8633
2.4559	14573.8809
